Name,Minimum,Maximum,Length,Direction,locus_tag,TPM,RPKM
parB CDS,147,1019,873,reverse,PP_0001,31.24,41.5
chromosome-partitioning protein,147,1019,873,reverse,,31.24,41.5
parA CDS,1029,1820,792,reverse,PP_0002,24.36,32.35
chromosome partition protein,1029,1820,792,reverse,,24.36,32.35
rsmG CDS,1839,2489,651,reverse,PP_0003,28.5,37.85
16S RNA methyltransferase,1839,2489,651,reverse,,28.5,37.85
trmF CDS,2486,4381,1896,reverse,PP_0004,22.9,30.42
tRNA uridine 5-carboxymethylaminomethyl modification protein,2486,4381,1896,reverse,,22.9,30.42
trmE CDS,5012,6382,1371,reverse,PP_0005,37.43,49.72
GTPase,5012,6382,1371,reverse,,37.43,49.72
oxaA CDS,6471,8153,1683,reverse,PP_0006,5.65,7.5
membrane protein insertase,6471,8153,1683,reverse,,5.65,7.5
yidD CDS,8156,8401,246,reverse,PP_0007,19.7,26.16
hypothetical protein,8156,8401,246,reverse,,19.7,26.16
rnpA CDS,8394,8798,405,reverse,PP_0008,17.09,22.7
ribonuclease P protein component,8394,8798,405,reverse,,17.09,22.7
rpmH CDS,8812,8946,135,reverse,PP_0009,23.59,31.33
50S ribosomal protein L34,8812,8946,135,reverse,,23.59,31.33
dnaA CDS,9542,11062,1521,forward,PP_0010,20.42,27.12
chromosomal replication initiator protein,9542,11062,1521,forward,,20.42,27.12
dnaN CDS,11103,12206,1104,forward,PP_0011,17.89,23.76
DNA polymerase III subunit beta,11103,12206,1104,forward,,17.89,23.76
recF CDS,12222,13325,1104,forward,PP_0012,28.55,37.92
DNA replication/repair protein,12222,13325,1104,forward,,28.55,37.92
gyrB CDS,13330,15750,2421,forward,PP_0013,22.07,29.32
DNA gyrase subunit B,13330,15750,2421,forward,,22.07,29.32
hypothetical protein CDS,16589,17227,639,forward,PP_5421,4.55,6.04
hypothetical protein,16589,17227,639,forward,,4.55,6.04
transposase CDS,17208,19166,1959,forward,PP_0014,8.57,11.39
transposase,17208,19166,1959,forward,,8.57,11.39
transposon protein CDS,19163,20122,960,forward,PP_0015,10.05,13.35
transposon protein,19163,20122,960,forward,,10.05,13.35
hypothetical protein CDS,20198,22114,1917,forward,PP_0016,22.73,30.19
hypothetical protein,20198,22114,1917,forward,,22.73,30.19
transcriptional regulator CDS,22171,22530,360,forward,PP_0017,444.32,590.18
transcriptional regulator,22171,22530,360,forward,,444.32,590.18
hypothetical protein CDS,23176,24018,843,forward,PP_0018,139.93,185.86
hypothetical protein,23176,24018,843,forward,,139.93,185.86
hypothetical protein CDS,24000,24698,699,forward,PP_0019,461.3,612.74
hypothetical protein,24000,24698,699,forward,,461.3,612.74
hypothetical protein CDS,24695,25570,876,forward,PP_0020,220.58,292.99
hypothetical protein,24695,25570,876,forward,,220.58,292.99
hypothetical protein CDS,25881,26804,924,forward,PP_0021,20.38,27.07
hypothetical protein,25881,26804,924,forward,,20.38,27.07
hypothetical protein CDS,26989,27153,165,reverse,PP_0022,213.69,283.84
hypothetical protein,26989,27153,165,reverse,,213.69,283.84
hypothetical protein CDS,27599,27727,129,reverse,PP_0023,503.71,669.07
hypothetical protein,27599,27727,129,reverse,,503.71,669.07
membrane-associated metal-dependent hydrolase CDS,27850,29547,1698,reverse,PP_0024,2.28,3.03
membrane-associated metal-dependent hydrolase,27850,29547,1698,reverse,,2.28,3.03
hypothetical protein CDS,29990,30142,153,reverse,PP_0025,7.24,9.62
hypothetical protein,29990,30142,153,reverse,,7.24,9.62
cobalt/cadmium/zinc exporter CDS,30431,31336,906,forward,PP_0026,154.03,204.6
cobalt/cadmium/zinc exporter,30431,31336,906,forward,,154.03,204.6
membrane protein CDS,31404,31844,441,forward,PP_0027,24.28,32.25
membrane protein,31404,31844,441,forward,,24.28,32.25
hypothetical protein CDS,31877,32203,327,reverse,PP_0028,9.31,12.37
hypothetical protein,31877,32203,327,reverse,,9.31,12.37
hypothetical protein CDS,32402,32575,174,forward,PP_5422,2.65,3.52
hypothetical protein,32402,32575,174,forward,,2.65,3.52
czcR-I CDS,32893,33567,675,forward,PP_0029,136.81,181.72
heavy metal two-component system response regulator,32893,33567,675,forward,,136.81,181.72
czrSA CDS,33564,34982,1419,forward,PP_0030,88.43,117.46
metal-sensor histidine kinase,33564,34982,1419,forward,,88.43,117.46
hypothetical protein CDS,35040,35627,588,reverse,PP_0031,5.34,7.09
hypothetical protein,35040,35627,588,reverse,,5.34,7.09
hypothetical protein CDS,35894,36115,222,forward,PP_0032,65.69,87.26
hypothetical protein,35894,36115,222,forward,,65.69,87.26
undecaprenyl-glycosyl transferase CDS,36198,37652,1455,reverse,PP_0033,4.16,5.52
undecaprenyl-glycosyl transferase,36198,37652,1455,reverse,,4.16,5.52
bactoprenol glycosyl-transferase CDS,37646,38629,984,reverse,PP_0034,1.74,2.3
bactoprenol glycosyl-transferase,37646,38629,984,reverse,,1.74,2.3
bactoprenol-linked glycose transferase CDS,38595,39014,420,reverse,PP_0035,6.15,8.17
bactoprenol-linked glycose transferase,38595,39014,420,reverse,,6.15,8.17
